ID_архива,Номер акта,Дата,Статус,Корпус,Этаж,ID_работы,Система,Работа,Локация,Захватка,Метод привязки,Файл,Ссылка,Подрядчик,Комментарий
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,11,W075,СОУЭ1,Кабель,Запотолочка,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,11,W076,СОУЭ1,Распред. короб,Запотолочка,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,11,W079,СОУЭ1,Кабель,Стены,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,11,W082,СОУЭ1,Кабель,Шахты,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,12,W075,СОУЭ1,Кабель,Запотолочка,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,12,W076,СОУЭ1,Распред. короб,Запотолочка,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,12,W079,СОУЭ1,Кабель,Стены,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,12,W082,СОУЭ1,Кабель,Шахты,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,13,W075,СОУЭ1,Кабель,Запотолочка,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,13,W076,СОУЭ1,Распред. короб,Запотолочка,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,13,W079,СОУЭ1,Кабель,Стены,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
11276,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,К5,13,W082,СОУЭ1,Кабель,Шахты,МОП,имя файла,7-С5.СБЗ-СОУЭ1 Эт 11-15 алимак Кабель 10.07.2026.pdf,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,"ООО ""Топ ID""",
