ID,Очередь,Корпус,Этажи,Раздел,Подраздел,Работа,Номер акта,Дата,Статус,Подрядчик,Загрузил,Замечаний (всего),Замечаний (открытых),Файлы (S3),Google Drive URL,Комментарий,Обработан,Создан,Обновлён,Замечания (открытые),Замечания (закрытые)
11276,СБ3,К5,"11, 12, 13, 14, 15",Слаботочные сети,СОУЭ1,Разводка кабеля,7-С5.СБЗ-СОУЭ1,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,2,2,https://acons-app.ru/api/v1/share/checklist/b5030d54-811c-421d-8e87-253e35220fd8/,,,Нет,2026-07-17,2026-07-17,"Маркировка кабельных линий, Расстояние между кабельными линиями",
11275,СБ3,К5,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",Слаботочные сети,СОУЭ1,Монтаж оборудования системы СОУЭ1,6-С5.СБЗ-СОУЭ1,10.07.2026,Замечания устранены,"ООО ""Топ ID""",Валерий Семенов,0,0,https://acons-app.ru/api/v1/share/checklist/5304c92d-aca1-49cb-95d5-56a3bd90bc1d/,,,Нет,2026-07-17,2026-07-17,,
11274,СБ3,К5,"11, 12, 13, 14, 15",Слаботочные сети,АПС,Разводка кабеля,8-С5.СБЗ-АПС,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,1,1,https://acons-app.ru/api/v1/share/checklist/703e0d62-f808-4e30-80c2-f0bebc6022a4/,,,Нет,2026-07-17,2026-07-17,Расстояние между кабельными линиями,
11273,СБ3,К5,"11, 12, 13, 14, 15",Слаботочные сети,АСКУВТ,Разводка кабеля,7-С5.СБЗ-АСКУВТ,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,3,3,https://acons-app.ru/api/v1/share/checklist/c6ad9cda-8e4b-454b-8256-24cab4a10c07/,,,Нет,2026-07-17,2026-07-17,"Маркировка кабельных линий, Отклонение от MR BASE, Расстояние между кабельными линиями",
11272,СБ3,К5,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16",Слаботочные сети,АПС,Монтаж оборудования АПС,7-С5.СБЗ-АПС,10.07.2026,Замечания устранены,"ООО ""Топ ID""",Валерий Семенов,0,0,https://acons-app.ru/api/v1/share/checklist/bbf353c6-7e1c-4385-8a50-0d670916afd4/,,,Нет,2026-07-17,2026-07-17,,
11271,СБ3,К1,"18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34",Слаботочные сети,СОУЭ2,Разводка кабеля,2-С1.СБЗ-СОУЭ2,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,3,3,https://acons-app.ru/api/v1/share/checklist/bd7c84f3-d7b9-4e43-98c5-53191de7dc73/,,,Нет,2026-07-17,2026-07-17,"Установить кабельные проходки, Монтаж не окончен, Расстояние между кабельными линиями",
11270,СБ3,К1,"30, 31, 32, 33, 34",Слаботочные сети,АСКУЭ,Разводка кабеля,4-С1.СБЗ-АСКУЭ,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,3,3,https://acons-app.ru/api/v1/share/checklist/3e412b3f-17f7-4659-a42b-da3c3d9d0772/,,,Нет,2026-07-17,2026-07-17,"Согласовать непроектное решение, Расстояние между кабельными линиями, Установить кабельные проходки",
11269,СБ3,К5,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",Слаботочные сети,АСКУЭ,Разводка кабеля,6-С5.СБЗ-АСКУЭ,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,3,3,https://acons-app.ru/api/v1/share/checklist/9b511e52-12e2-4ad2-b84d-137a762b9a0b/,,,Нет,2026-07-17,2026-07-17,"Маркировка кабельных линий, Согласовать непроектное решение, Огнезащита отсутствует",
11268,СБ3,К5,"11, 12, 13, 14, 15",Слаботочные сети,УКВ,Разводка кабеля,8-С5.СБЗ-УКВ,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,2,2,https://acons-app.ru/api/v1/share/checklist/3316c23a-6320-4f7c-8a0f-925c72bef30a/,,,Нет,2026-07-17,2026-07-17,"Маркировка кабельных линий, Расстояние между кабельными линиями",
11267,СБ3,К1,"30, 31, 32, 33, 34",Слаботочные сети,АСКУВТ,Разводка кабеля,4-С1.СБЗ-АСКУВТ,10.07.2026,Есть замечания,"ООО ""Топ ID""",Валерий Семенов,2,2,https://acons-app.ru/api/v1/share/checklist/2fc35517-5102-4c96-b485-5be35780df16/,,,Нет,2026-07-17,2026-07-17,"Кабельные проходки не выполнены, Расстояние между кабельными линиями",
